NK_PRODUCT;wNbr;NK_PI_Product;NK_SP_PRODUCT;NK_PRODUCT_IND;ID;CODE;TYPE;NAME;admissionnumber;producingCountryPrimaryKey;exhaustionDeadline;soldoutDeadline;isSalePermission;packageInsert;terminationReason
41D270CE-5051-4262-B3DE-5386EF999ADA;4495;330BCC9C-CE4E-4DF8-8651-0F53F6325FE9;NULL;NULL;A-1101;NULL;PARALLEL_IMPORT;Cosan-Super Kolloid-Netzschwefel;238-0;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;4571;NULL
41D270CE-5051-4262-B3DE-5386EF999ADA;4495;752F3A1C-3719-4241-AAFD-08FD647491AA;NULL;NULL;A-2014;NULL;PARALLEL_IMPORT;Kumulus WG;396-0;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;4571;NULL
6267C2BC-DA78-472A-AF3D-7676AF84F74A;6168;59720AE8-BAD2-47B6-AE87-BB936F222621;NULL;NULL;A-2249;NULL;PARALLEL_IMPORT;Defi;2525-1;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;7105;NULL
842BA77F-66EE-458E-977B-5358ED1941C4;5218;42058467-6F34-42E7-98C0-3A1FAEAFE032;NULL;NULL;A-2854;NULL;PARALLEL_IMPORT;Switch;2619-1;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;6113;NULL
842BA77F-66EE-458E-977B-5358ED1941C4;5218;54C69437-646C-4682-8264-513D868220F1;NULL;NULL;A-2857;NULL;PARALLEL_IMPORT;Switch;2619-0;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;6113;NULL
E6148C0B-6227-42DE-8228-59D8768717FD;6349;F9E908E1-4C43-4BC0-B641-E094FCD485BD;NULL;NULL;A-2862;NULL;PARALLEL_IMPORT;Butisan;2307-0;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;7440;NULL
9E516054-4F96-4D50-AE80-B124A71ADC7F;5460;32A56A3C-7BAC-482F-A216-C3551F1B55D4;NULL;NULL;A-2865;NULL;PARALLEL_IMPORT;Stroby WG;2576-1;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;6500;NULL
B5E46CCF-1B4E-46AB-A5C6-0ABFD0E78A9A;6786;121F6A28-9131-438B-BAD4-E25EC5B0E178;NULL;NULL;A-2868;NULL;PARALLEL_IMPORT;SL 950;2514-0;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;8269;NULL
F3003B19-7CA4-4D80-84BE-F24E3D54C0FA;6149;5BB453D3-653E-4D78-BEDB-E0BC9BF60265;NULL;NULL;A-3106;NULL;PARALLEL_IMPORT;Bandur;2579-0;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;7351;NULL
AA3831B4-2835-4A98-8319-0586B1182324;6747;9451553A-E00F-4F79-B288-88F6DC607D7E;NULL;NULL;A-3110;NULL;PARALLEL_IMPORT;Winner;2528-0;29738aa2-5393-438d-be07-9d6b56d2accf;NULL;NULL;false;7952;NULL
