"bk_Code","ID","PARENT_ID","VERSION","VALUE","LANGUAGE","CODE_VALUE","IUPAC_NAME","TEXT_KEY","BBCH_STAGE_FROM","BBCH_STAGE_TO","MIN_INTERNAL_BETWEEN_USES","MAX_APPLICATIONS","UNIT_MAX_APPLICATIONS","InfofitoRef"
"000AB471-B6B6-4CE7-BBBB-7588C9677BB3-en","000AB471-B6B6-4CE7-BBBB-7588C9677BB3","","0","","en","13708","","Obligation","","","","","",""
"000AB471-B6B6-4CE7-BBBB-7588C9677BB3-it","000AB471-B6B6-4CE7-BBBB-7588C9677BB3","","0","SPa 1: Per evitare l'insorgenza di resistenza al massimo 2 trattamenti per coltura con prodotti del gruppo di principi attivi FRAC C3 (tra cui strobilurine).","it","13708","","Obligation","","","","","",""
"000AB471-B6B6-4CE7-BBBB-7588C9677BB3-fr","000AB471-B6B6-4CE7-BBBB-7588C9677BB3","","0","SPa 1: Pour éviter le développement de résistances, 2 traitements au maximum par culture avec des produits du groupe de matières actives FRAC C3 (notamment les strobilurines).","fr","13708","","Obligation","","","","","",""
"000AB471-B6B6-4CE7-BBBB-7588C9677BB3-de","000AB471-B6B6-4CE7-BBBB-7588C9677BB3","","0","SPa 1: Zur Vermeidung einer Resistenzbildung maximal 2 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine).","de","13708","","Obligation","","","","","",""
"000F94EB-0CC1-4545-BE89-BDD88D84C04E-en","000F94EB-0CC1-4545-BE89-BDD88D84C04E","","0","","en","","","ApplicationComment","","","","","",""
"000F94EB-0CC1-4545-BE89-BDD88D84C04E-fr","000F94EB-0CC1-4545-BE89-BDD88D84C04E","","0","Avant la floraison ou après la récolte.","fr","","","ApplicationComment","","","","","",""
"000F94EB-0CC1-4545-BE89-BDD88D84C04E-it","000F94EB-0CC1-4545-BE89-BDD88D84C04E","","0","Prima della fioritura o dopo il raccolto","it","","","ApplicationComment","","","","","",""
"000F94EB-0CC1-4545-BE89-BDD88D84C04E-de","000F94EB-0CC1-4545-BE89-BDD88D84C04E","","0","Vor der Blüte oder nach der Ernte.","de","","","ApplicationComment","","","","","",""
"00137EC0-92E2-4376-B3CD-630BF7840A09-en","00137EC0-92E2-4376-B3CD-630BF7840A09","","0","","en","14080","","Obligation","","","","","",""
"00137EC0-92E2-4376-B3CD-630BF7840A09-fr","00137EC0-92E2-4376-B3CD-630BF7840A09","","0","En mélange en cuve selon les indications du titulaire de l'autorisation. ","fr","14080","","Obligation","","","","","",""
"00137EC0-92E2-4376-B3CD-630BF7840A09-de","00137EC0-92E2-4376-B3CD-630BF7840A09","","0","In Tankmischung gemäss den Angaben der Bewilligungsinhaberin. ","de","14080","","Obligation","","","","","",""
"00137EC0-92E2-4376-B3CD-630BF7840A09-it","00137EC0-92E2-4376-B3CD-630BF7840A09","","0","Utilizzabile in una miscela estemporanea secondo le indicazioni del titolare dell'autorizzazione ","it","14080","","Obligation","","","","","",""
"002F5C84-8AAB-4284-839A-0F979550CD5F-de","002F5C84-8AAB-4284-839A-0F979550CD5F","","0","Aluminiumfosetyl (Fosetyl-Al)","de","","Ehtyl hydrogen phosphonate, aluminium salt; Aluminium tris-O-ethyl phosphonate","Substance","","","","","",""
"002F5C84-8AAB-4284-839A-0F979550CD5F-en","002F5C84-8AAB-4284-839A-0F979550CD5F","","0","Aluminiumfosetyl (Fosetyl-Al)","en","","Ehtyl hydrogen phosphonate, aluminium salt; Aluminium tris-O-ethyl phosphonate","Substance","","","","","",""
"002F5C84-8AAB-4284-839A-0F979550CD5F-it","002F5C84-8AAB-4284-839A-0F979550CD5F","","0","Fosetil alluminio (Fosetyl-Al)","it","","Ehtyl hydrogen phosphonate, aluminium salt; Aluminium tris-O-ethyl phosphonate","Substance","","","","","",""
"002F5C84-8AAB-4284-839A-0F979550CD5F-fr","002F5C84-8AAB-4284-839A-0F979550CD5F","","0","fosétyl-aluminium","fr","","Ehtyl hydrogen phosphonate, aluminium salt; Aluminium tris-O-ethyl phosphonate","Substance","","","","","",""
"00376307-7002-47B6-9DD6-2698B98DA984-en","00376307-7002-47B6-9DD6-2698B98DA984","","0","","en","","","Measure","","","","","",""
"00376307-7002-47B6-9DD6-2698B98DA984-fr","00376307-7002-47B6-9DD6-2698B98DA984","","0","ml dans 10 l d'eau/10 m²","fr","","","Measure","","","","","",""
"00376307-7002-47B6-9DD6-2698B98DA984-it","00376307-7002-47B6-9DD6-2698B98DA984","","0","ml in 10 l d'acqua/10 m²","it","","","Measure","","","","","",""
"00376307-7002-47B6-9DD6-2698B98DA984-de","00376307-7002-47B6-9DD6-2698B98DA984","","0","ml in 10 l Wasser/10 m² ","de","","","Measure","","","","","",""
"00459AF5-00A6-4D18-AABD-7DA993B55A68-en","00459AF5-00A6-4D18-AABD-7DA993B55A68","","0","","en","","","ApplicationComment","","","","","",""
"00459AF5-00A6-4D18-AABD-7DA993B55A68-fr","00459AF5-00A6-4D18-AABD-7DA993B55A68","","0","stade 13-30 (BBCH).","fr","","","ApplicationComment","","","","","",""
"00459AF5-00A6-4D18-AABD-7DA993B55A68-it","00459AF5-00A6-4D18-AABD-7DA993B55A68","","0","Stadi 13 - 30 (BBCH).","it","","","ApplicationComment","","","","","",""
"00459AF5-00A6-4D18-AABD-7DA993B55A68-de","00459AF5-00A6-4D18-AABD-7DA993B55A68","","0","Stadium 13-30 (BBCH).","de","","","ApplicationComment","","","","","",""
"005055A9-67BF-4C14-A78D-205E890E504C-en","005055A9-67BF-4C14-A78D-205E890E504C","","0","","en","","","ApplicationComment","","","","","",""
"005055A9-67BF-4C14-A78D-205E890E504C-fr","005055A9-67BF-4C14-A78D-205E890E504C","","0","avant ou aussitôt après la plantation.","fr","","","ApplicationComment","","","","","",""
"005055A9-67BF-4C14-A78D-205E890E504C-it","005055A9-67BF-4C14-A78D-205E890E504C","","0","Prima o immediatamente dopo la piantagione.","it","","","ApplicationComment","","","","","",""
"005055A9-67BF-4C14-A78D-205E890E504C-de","005055A9-67BF-4C14-A78D-205E890E504C","","0","Vor- oder unmittelbar nach der Pflanzung.","de","","","ApplicationComment","","","","","",""
"00836A1F-6ADE-4B38-8727-3D794BD59828-en","00836A1F-6ADE-4B38-8727-3D794BD59828","","0","","en","13792","","Obligation","","","","","",""
"00836A1F-6ADE-4B38-8727-3D794BD59828-de","00836A1F-6ADE-4B38-8727-3D794BD59828","","0","Erste Behandlung nach der Pflanzung, zweite Behandlung 3 Wochen später.","de","13792","","Obligation","","","","","",""
"00836A1F-6ADE-4B38-8727-3D794BD59828-fr","00836A1F-6ADE-4B38-8727-3D794BD59828","","0","Premier traitement après la plantation, deuxième traitement 3 semaines plus tard.","fr","13792","","Obligation","","","","","",""
"00836A1F-6ADE-4B38-8727-3D794BD59828-it","00836A1F-6ADE-4B38-8727-3D794BD59828","","0","Primo trattamento subito dopo la piantagione, secondo trattamento dopo 3 settimane.","it","13792","","Obligation","","","","","",""
"009C8A66-ABB5-464B-BA11-BBF59C7D0B79-en","009C8A66-ABB5-464B-BA11-BBF59C7D0B79","","1","","en","","","IngredientAdditionalText","","","","","",""
"009C8A66-ABB5-464B-BA11-BBF59C7D0B79-de","009C8A66-ABB5-464B-BA11-BBF59C7D0B79","","1","als 34.9% Glyphosat-Kaliumsalz (441 g/l)","de","","","IngredientAdditionalText","","","","","",""
"009C8A66-ABB5-464B-BA11-BBF59C7D0B79-it","009C8A66-ABB5-464B-BA11-BBF59C7D0B79","","1","pari a 34.9% glifosato sotto forma di sale di potassio (441 g/l)","it","","","IngredientAdditionalText","","","","","",""
"009C8A66-ABB5-464B-BA11-BBF59C7D0B79-fr","009C8A66-ABB5-464B-BA11-BBF59C7D0B79","","1","sous forme de 34.9% de sel de potassium de glyphosate (441 g/l) ","fr","","","IngredientAdditionalText","","","","","",""
"00C27B5A-7923-4A59-9FFB-9D2957ADFC8D-en","00C27B5A-7923-4A59-9FFB-9D2957ADFC8D","","0","","en","14486","","Obligation","","","","","",""
"00C27B5A-7923-4A59-9FFB-9D2957ADFC8D-de","00C27B5A-7923-4A59-9FFB-9D2957ADFC8D","","0","Anwendung nur unter den Bäumen","de","14486","","Obligation","","","","","",""
"00C27B5A-7923-4A59-9FFB-9D2957ADFC8D-fr","00C27B5A-7923-4A59-9FFB-9D2957ADFC8D","","0","Traitement seulement sous les arbres","fr","14486","","Obligation","","","","","",""
"00C27B5A-7923-4A59-9FFB-9D2957ADFC8D-it","00C27B5A-7923-4A59-9FFB-9D2957ADFC8D","","0","Trattamento esclusivamente sotto gli alberi","it","14486","","Obligation","","","","","",""
"00CAEAC80337A24BB89B73D04691BC8A1BED-fr","00CAEAC80337A24BB89B73D04691BC8A1BED","","","3 par culture et année.","fr","","","ApplicationComment","","","","3","culture et année","MaxAppPer"
"00CAEAC80337A24BB89B73D04691BC8A1BED-en","00CAEAC80337A24BB89B73D04691BC8A1BED","","","3 per .","en","","","ApplicationComment","","","","3","","MaxAppPer"
"00CAEAC80337A24BB89B73D04691BC8A1BED-it","00CAEAC80337A24BB89B73D04691BC8A1BED","","","3 per coltura e anno.","it","","","ApplicationComment","","","","3","coltura e anno","MaxAppPer"
"00CAEAC80337A24BB89B73D04691BC8A1BED-de","00CAEAC80337A24BB89B73D04691BC8A1BED","","","3 pro Kultur und Jahr.","de","","","ApplicationComment","","","","3","Kultur und Jahr","MaxAppPer"
"00D94F57-BA6F-4BA0-8F68-26D4C497539A-en","00D94F57-BA6F-4BA0-8F68-26D4C497539A","890D8A5E-BF86-4B2D-9B98-45B779D80F7F","0","","en","","","Culture","","","","","",""
"00D94F57-BA6F-4BA0-8F68-26D4C497539A-de","00D94F57-BA6F-4BA0-8F68-26D4C497539A","890D8A5E-BF86-4B2D-9B98-45B779D80F7F","0","Ein- und zweijährige Zierpflanzen","de","","","Culture","","","","","",""
"00D94F57-BA6F-4BA0-8F68-26D4C497539A-it","00D94F57-BA6F-4BA0-8F68-26D4C497539A","890D8A5E-BF86-4B2D-9B98-45B779D80F7F","0","Piante ornamentali annuali e biennali","it","","","Culture","","","","","",""
"00D94F57-BA6F-4BA0-8F68-26D4C497539A-fr","00D94F57-BA6F-4BA0-8F68-26D4C497539A","890D8A5E-BF86-4B2D-9B98-45B779D80F7F","0","plantes ornementales annuelles et bisannuelles","fr","","","Culture","","","","","",""
"00E5D1C0-CC78-43FF-9629-83B2CE784AC0-en","00E5D1C0-CC78-43FF-9629-83B2CE784AC0","","0","","en","9934","","Obligation","","","","","",""
"00E5D1C0-CC78-43FF-9629-83B2CE784AC0-fr","00E5D1C0-CC78-43FF-9629-83B2CE784AC0","","0","Autorisé seulement pour le traitement des surfaces rugueuses des locaux vides avant le stockage des produits de récolte séchés suivants: céréales, maïs, riz, féveroles, haricots, pois protéagineux, lentilles. ","fr","9934","","Obligation","","","","","",""
"00E5D1C0-CC78-43FF-9629-83B2CE784AC0-it","00E5D1C0-CC78-43FF-9629-83B2CE784AC0","","0","Autorizzato esclusivamente per il trattamento dei locali vuoti con superfici rugose prima dell'immagazzinaggio dei seguenti prodotti sechi: cereali, mais, riso, fave, fagioli, piselli proteici, lenticchie. ","it","9934","","Obligation","","","","","",""
"00E5D1C0-CC78-43FF-9629-83B2CE784AC0-de","00E5D1C0-CC78-43FF-9629-83B2CE784AC0","","0","Bewilligt nur für die Behandlung leerer Räume mit rauher Oberfläche vor der Einlagerung folgender getrockneter Erntegüter: Getreide, Mais, Reis, Ackerbohnen, Bohnen, Eiweisserbsen, Linsen.","de","9934","","Obligation","","","","","",""
"00F1D588-62E9-4E99-B537-B20CB0DFE546-en","00F1D588-62E9-4E99-B537-B20CB0DFE546","","0","","en","","","Measure","","","","","",""
"00F1D588-62E9-4E99-B537-B20CB0DFE546-fr","00F1D588-62E9-4E99-B537-B20CB0DFE546","","0","ml/pot","fr","","","Measure","","","","","",""
"00F1D588-62E9-4E99-B537-B20CB0DFE546-de","00F1D588-62E9-4E99-B537-B20CB0DFE546","","0","ml/Topf","de","","","Measure","","","","","",""
"00F1D588-62E9-4E99-B537-B20CB0DFE546-it","00F1D588-62E9-4E99-B537-B20CB0DFE546","","0","ml/vaso","it","","","Measure","","","","","",""
"9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829-en","9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829","33686F38-1E1A-4698-81E4-C40EE4494EF3","0","","en","","","Culture","","","","","",""
"9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829-de","9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829","33686F38-1E1A-4698-81E4-C40EE4494EF3","0","Blattsalate (Asteraceae)","de","","","Culture","","","","","",""
"9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829-it","9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829","33686F38-1E1A-4698-81E4-C40EE4494EF3","0","Insalate a foglie (Asteracee)","it","","","Culture","","","","","",""
"9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829-fr","9CA61204-7EA7-4F2F-BAD3-BD02EDD6A829","33686F38-1E1A-4698-81E4-C40EE4494EF3","0","laitues à tondre (Asteraceae)","fr","","","Culture","","","","","",""
"9CB61F36-3040-485B-AF25-9A7149E5BB8F-en","9CB61F36-3040-485B-AF25-9A7149E5BB8F","","0","","en","14412","","Obligation","","","","","",""
"A4294833-D28A-4A4C-8D93-CA74D1C0DE1D-en","A4294833-D28A-4A4C-8D93-CA74D1C0DE1D","","0","","en","9439","","Obligation","","","","","",""
"A4294833-D28A-4A4C-8D93-CA74D1C0DE1D-de","A4294833-D28A-4A4C-8D93-CA74D1C0DE1D","","0","1-2 Anwendungen im Abstand von 10 Tagen.","de","9439","","Obligation","","","","","",""
"A4294833-D28A-4A4C-8D93-CA74D1C0DE1D-fr","A4294833-D28A-4A4C-8D93-CA74D1C0DE1D","","0","1-2 traitements avec un intervalle de 10 jours.","fr","9439","","Obligation","","","","","",""
