NK_Codetable_Culture                 NK_Codetable_Culture_AdditionalText  NK_Codetable_Parent_Culture          NK_Culture                           NK_Indication
------------------------------------ ------------------------------------ ------------------------------------ ------------------------------------ ------------------------------------
00D94F57-BA6F-4BA0-8F68-26D4C497539A NULL                                 890D8A5E-BF86-4B2D-9B98-45B779D80F7F 59391316-3992-45D8-958F-0945E42A4E45 3F25CF9D-2D2F-46D5-9BB7-00CC92BFA2AE
00D94F57-BA6F-4BA0-8F68-26D4C497539A NULL                                 890D8A5E-BF86-4B2D-9B98-45B779D80F7F 59391316-3992-45D8-958F-0945E42A4E45 6183E670-A7D6-4BAB-A9F9-BB13CBAB1CDB
00D94F57-BA6F-4BA0-8F68-26D4C497539A NULL                                 890D8A5E-BF86-4B2D-9B98-45B779D80F7F 59391316-3992-45D8-958F-0945E42A4E45 93FF887F-AB87-448F-A05B-C46C03E08DD3
00D94F57-BA6F-4BA0-8F68-26D4C497539A NULL                                 890D8A5E-BF86-4B2D-9B98-45B779D80F7F 59391316-3992-45D8-958F-0945E42A4E45 F9C1232B-35CF-40C8-9327-D79F3433FA4A
0106A8DF-6CDF-4E18-8F46-3D9E1D52D0E5 NULL                                 NULL                                 D68BEE8F-81DE-4E37-BFC1-B79699F6B4BE 0CD5C74A-6872-4970-81A3-B7629FDA9F28
0106A8DF-6CDF-4E18-8F46-3D9E1D52D0E5 NULL                                 NULL                                 D68BEE8F-81DE-4E37-BFC1-B79699F6B4BE 18EA741A-2283-41C3-A7ED-3A7EDEC33659
0106A8DF-6CDF-4E18-8F46-3D9E1D52D0E5 NULL                                 NULL                                 D68BEE8F-81DE-4E37-BFC1-B79699F6B4BE 1EE7F064-3DA6-413F-A0BC-C2D80EBF1AB5
0106A8DF-6CDF-4E18-8F46-3D9E1D52D0E5 NULL                                 NULL                                 D68BEE8F-81DE-4E37-BFC1-B79699F6B4BE 93D753A3-A47E-4BD6-9DF9-F0B7F3C1FC85
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 03080AA0-EED0-4EA6-8FD1-C87E6074AE7A
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 081A7ED5-74C5-4953-9852-468773433C05
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 1158B983-91EF-498C-8F76-BB6F59E8B916
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 14C161BA-0C3A-4110-AF94-2E38A9DA8A05
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 15319A9F-3DF8-4631-BDA3-2407BC884ABC
