NK_Codetable,NK_Indication,NK_Measure
B6121EAC-9C11-4572-8141-73D28B6B0C30,000D83DF-A077-4B27-9728-794FC717E5CB,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,0016B646-7EDE-41C7-96EF-E62CAD3C1901,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,002259DF-077D-4CA5-BEF2-BC14B89625F4,BF45D8F6-A560-441D-8BB4-E266EB9790AD
B6121EAC-9C11-4572-8141-73D28B6B0C30,0023CFBC-72E2-4833-9A38-DFA324A725E2,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,00252E42-2DBC-41F8-B17F-F4E30F608F04,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,00344E59-50D8-477F-BEFE-804C0D953EE5,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,003F2BF6-B803-4EA2-8477-08A845A48912,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,006CB18E-1483-44A9-ACF5-1FC42E617A3A,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,006E1554-0E21-4431-A629-D8D26E50D8B8,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,0075681D-B346-4623-AADF-8C0E85A94F20,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,00813B99-E859-414A-9DED-A57B89330B3E,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,0093DA62-AF4D-4A63-9FB5-C3173EF1B6C4,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,009418D2-6615-4D4B-9C3B-BAE7CB2A620B,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,00971244-CC40-434A-9B90-DD9598E5203F,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
F7298406-1A53-4718-A5FB-D4CB327453A3,0098E584-AA59-4E46-A1E4-E696A4A953DC,E2C91BF5-57B7-42D8-A0EE-EA7F6C2DCE5B
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,0099DDFF-1FF8-4567-A338-E6D2EF3861D8,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
