NK_Codetable,NK_Indication,NK_Obligation,ObligationID
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,00F0003B-2A6B-48F3-924F-457BBF1E96E0,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,0310A656-B1B4-473F-8CCC-BE24B9466406,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,0495161F-526A-4ED1-B473-8ADF4464C331,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,04A1DAB5-6311-4DD0-ABD9-411B407CAC0D,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,04AB2C15-1E0A-4B10-B819-C47F421205BB,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,0BD1C627-08FF-46EA-9381-91A686AE6DFF,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,0C29A35C-C4A2-4C90-80B0-E96CF93C29C2,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,11C99B0D-2E61-4C16-A7B9-D93DE0AED612,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,13BD57FC-744D-49AE-85CC-E07D6B9E7754,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,14BB3DA3-2B1E-4889-9BDE-15C92F9BAD76,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,15074D4D-836A-4CB7-A9E2-CE1FAB47ADA1,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,1B3B4596-5AAE-4FC8-9BCB-43576FB6BE3D,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,1BFBCAD0-1C7D-452B-9335-5C05EEA655AE,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,1F313A4C-1003-4D22-A416-312815A19093,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,2740C112-FEDB-46FB-A942-ED9686BEAE6E,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
000AB471-B6B6-4CE7-BBBB-7588C9677BB3,28A97827-283B-48FE-AFA4-85E3DA0F8331,B40F3932-61B6-4D99-B18E-47DC9C897CE2,13708
