NK_Codetable,NK_Indication,NK_TimeMeasure
095EEB98-31D5-472E-91DB-CB2EF4306EED,000B3CDB-E670-4C10-89AD-748451EA394C,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,00813B99-E859-414A-9DED-A57B89330B3E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,00927217-9ADE-4A0F-8A77-9E5CF904A105,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,009418D2-6615-4D4B-9C3B-BAE7CB2A620B,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0099DDFF-1FF8-4567-A338-E6D2EF3861D8,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,01651093-952D-4EE3-810D-EFEDD1E81195,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,019D3E4B-E231-4153-AD5A-2A4B1F285003,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,01CAA053-8940-4A03-BBB2-441C945DA9DF,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,01ECD034-F8E2-49A3-9843-D0ABE3D65265,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,02AB9139-115E-4C2E-838B-99CFB9EBD100,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,02F15194-EFB6-443F-9FAD-0293AF446F3B,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0358C071-A277-4703-B8B2-7B8134BCA5AF,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,036E886F-5674-46E1-8C2C-D17A9F5037B9,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,037412A5-7AF1-445B-90D8-C055799C5D6E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,03827E6A-8ED8-49F0-8B52-5834BE57173C,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,03CF3CBC-1E30-4F2E-9337-AF1F4B3C1A1E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,03D44532-D589-49A5-9EB9-69B2BE5D9987,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,03F9FBD3-4851-40A8-89AA-95A7DAE6407C,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,043A1FFD-8988-424A-A121-C7A944AB0C54,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,043B8CD7-B517-4571-9519-A28A46774471,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,04AB2C15-1E0A-4B10-B819-C47F421205BB,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,04C8524C-354C-457E-9C70-5117BD2602D9,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,04D7064F-13E8-418A-902F-B7B5E163FC1F,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,04EA6276-03B0-4541-9DD7-1CFC1640FB77,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,05A37201-CA77-48C1-984C-EA126485498E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,05BAC626-9250-4EF5-A20B-19AD4674CA01,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,05CF6ED0-74F0-4053-96B3-315F22C81477,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0601BB70-9C9D-4DC1-B8C8-0C6E8BF00385,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,065D9D4A-337F-4135-9665-19FE3EE064C8,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,06686582-FD33-4124-BB21-25284B7F9529,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,06B9403A-D300-49E1-AA7D-DC8899259C52,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,06FF7751-2C9F-4D48-9974-04FA979B12C0,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,07DE1ABF-3E2E-4C29-8B8E-A18B748E2EEB,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,08B54D60-C8B7-4BDA-9C37-50012702E833,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,090BE0FB-787B-4FB3-A26B-08D0AB6A0786,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,091D5BA9-374E-4AC2-8EB7-5BD9D580513C,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,091F5BF1-5195-4C57-9720-E8BF4A1083F2,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,094B5EF8-1AA1-4ADE-BFD8-8CACCB7A60DD,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,094DF840-26F7-4F77-95F2-EC72B4C6FAE1,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0A16868F-13B2-4C15-9666-737BF893BF15,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0A2B9EE3-9018-4809-BE88-B5179610E4C3,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0B2536E3-0648-4FAA-A549-2133E76849C7,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0B67A72B-F884-4F4B-8B3E-C8DAFAD395EB,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0C0BC142-E941-4088-B4FD-3C98279EB967,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0C752F9F-0305-4FC0-A85E-44E67197A8CA,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0CECDF03-C33C-4765-BF25-DCACFFE40DC5,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0CFE51CF-541E-4144-8DA1-2D1C8462E31D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0D2A1D94-B86A-4013-B176-5616BBDEA58D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0D98187D-40E4-42D8-A2F8-0C4C52751238,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0E50C451-9D7C-4DB5-95E4-F787719AE5A7,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0E7CB063-B56F-47C9-AE60-8107D39EAFEA,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0EDA4668-8B66-4BB9-989D-44577CD7387E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0EF0F5E9-1C7A-4A0B-BD99-180BB39C4852,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0EFB511D-B70B-4F52-A8A9-B62385207997,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
