dosageFrom,dosageTo,expenditureFrom,expenditureTo,NK_ApplicationArea,NK_Indication,NK_Measure,NK_TimeMeasure,serialNumber,waitingPeriod
NULL,NULL,13.000000,NULL,18C98256-F447-45D8-B653-2DC827F7E15A,30C3716A-8E93-4553-A7E9-942D4EDFAFBF,D5D99884-90E1-4358-A404-844A64EA9965,NULL,26,NULL
NULL,NULL,13.000000,NULL,18C98256-F447-45D8-B653-2DC827F7E15A,410F1AB8-914C-4A7A-B779-D522C3F3BE88,D5D99884-90E1-4358-A404-844A64EA9965,NULL,28,NULL
NULL,NULL,13.000000,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,56FBE5CD-80B2-4F6F-8E97-60E8FBEBB00E,D5D99884-90E1-4358-A404-844A64EA9965,NULL,23,NULL
NULL,NULL,13.000000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,8A84566D-022B-4496-9E05-B008AE64F333,D5D99884-90E1-4358-A404-844A64EA9965,NULL,29,NULL
NULL,NULL,13.000000,NULL,85575C30-3421-425D-BE97-53343516987F,8E2DD7D3-6E73-4FD9-BF06-4606AFB55187,D5D99884-90E1-4358-A404-844A64EA9965,NULL,31,NULL
NULL,NULL,13.000000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,CFC9B88A-67FE-4310-B027-A91000173BD5,D5D99884-90E1-4358-A404-844A64EA9965,NULL,25,NULL
NULL,NULL,9.000000,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,E550C681-446E-4EA5-953C-AE101B0D5B41,D5D99884-90E1-4358-A404-844A64EA9965,NULL,27,NULL
NULL,NULL,13.000000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,E7DC26C4-0FD8-4602-9304-E16D240741A7,D5D99884-90E1-4358-A404-844A64EA9965,NULL,32,NULL
NULL,NULL,13.000000,NULL,18C98256-F447-45D8-B653-2DC827F7E15A,EC6D0E03-7DED-4A79-9306-24FD0845092E,D5D99884-90E1-4358-A404-844A64EA9965,NULL,30,NULL
NULL,NULL,13.000000,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,F9F2F7ED-DFA7-40AB-8204-B647A54ABE29,D5D99884-90E1-4358-A404-844A64EA9965,NULL,24,NULL
NULL,NULL,1.100000,2.200000,85575C30-3421-425D-BE97-53343516987F,F789217A-183F-485E-A686-C255FA20E0FA,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,2,NULL
NULL,NULL,2.000000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,57E6F89F-EF9F-4496-965F-8480114DF0EE,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,5,NULL
2.000000,NULL,75.000000,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,B9C4FB2F-365B-4547-AB9C-26C6AA02E613,AFD5C973-E911-4CCE-B2F2-FC5C7D617B5D,NULL,3,NULL
0.200000,NULL,75.000000,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,E629516E-5060-4D81-B2D4-FDB2D1D9991A,AFD5C973-E911-4CCE-B2F2-FC5C7D617B5D,NULL,4,NULL
NULL,NULL,1.000000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,64B8EF43-1BE3-42BD-B4B4-9F74AA948067,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,6,NULL
NULL,NULL,1.000000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,A8C1458F-9C40-4C17-8FCC-A181D73F39C3,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,7,NULL
NULL,NULL,1.250000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,E26694AC-BF12-495F-95CC-7918312E2A0C,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,8,NULL
NULL,NULL,4.000000,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,01FB4705-CDD6-4398-81D7-526EAC24D0AF,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,4,NULL
