NK_PermissionHolder,NK_Product
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,01735BED-34C5-4F65-BBB2-ED934FFEF4C8
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,04247530-E8B7-4EC7-8338-21DEF2FA3D0D
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,048FC1F9-640B-4B77-A32B-7D08FE38701E
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,05266246-A8CD-4A12-B0F1-DC271C1B4EFA
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,055905F3-5071-48DA-B676-A03A6E9DE188
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0607FC9C-6E81-4722-BF6B-07ADDD4EBB3E
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,067FBB50-B19E-4D9B-8694-00828B24C0BC
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,07CA168C-9941-4874-B902-B86FFD7F59EA
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,089203D2-6BB3-487F-A3DC-D8FBDF58B9B8
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,08A83B0D-7F69-4E4B-A75E-A4EC09B64D92
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0A8C03E7-2345-4B8D-B11E-221CB1CD4AB3
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0AE16714-223B-4341-94E9-3E4C60964B8A
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0B8A9253-4ACB-4996-B1ED-56A79D893B04
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0CCA38BC-B0DC-4ECB-9995-682C1C4AEECC
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0D24140B-3E0E-4AD0-9477-5A7EE2D09F52
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0D2D9B7B-2146-4E55-828B-B4B476FA3942
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0D4856E6-4BF5-4714-AB6B-AFDC1EC4680E
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0D8E376B-8A6F-4E79-803E-0CF19941EEC1
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0E401266-8EB6-4601-B70D-93690B970661
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,0EB8DE7D-33D2-4A89-9FBD-D0709E3EBB0C
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,105B13BD-6F48-4003-82A4-E2C7B09A7F19
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,109DC92F-9635-4961-BFE8-2B67A6CFDFFF
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,111D1FE6-4B79-4F5B-B355-982B1F78BAE0
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,11AD0C7C-EE8A-4DFF-844D-3B7E43BF4D01
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,1273277A-8B92-4E80-BC44-CCBDFC615D77
018C0DAB-6CB8-4F46-B684-4F59117A4F6A,14370F2A-7AE0-421D-B56D-004D67FAF03B
