NK_Codetable,NK_Product,NK_SignalWord,SHORT_NAME
NULL,003B1F53-9D4A-47FB-989F-5677E6F1A872,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,00977A07-4860-4489-B522-FEB9BC90AECD,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,00CAE2E6-762B-492B-B54C-5384776F29EB,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,0131949D-2AA1-48B4-8003-E8A3846A7460,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,0179EC0D-2395-4E0E-9F3D-D40B24A1D003,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
NULL,017DB141-5931-4B88-AA7E-F8C4A4B5BD8C,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,01D5F1BA-6E12-4177-A06E-8371C94B95D3,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,0209CB56-2EF8-43E3-81FB-D4AF1CE1EC51,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,021E3C74-C569-4185-A21D-6E0CE21848B5,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
NULL,0224ED71-998A-41D5-AC71-D9615210C618,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,023DE78F-8641-4725-921D-F132BB9608A4,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,03B66B7E-B8B9-4D50-8621-B7B1C8C4CF1F,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,044B0EE2-4C90-4A6A-BD3F-05CEF11403DB,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,04CE20D0-B6F1-46D9-979E-FE92552D47B4,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,04F7A5B6-F281-478D-9E0D-238638EED274,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,0504E024-2C08-4274-BA6F-7B189DB1E03E,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,0510AF2E-594E-456B-9E46-A08694275979,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,055905F3-5071-48DA-B676-A03A6E9DE188,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,05E0149E-9537-40C4-B885-2FB572409323,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,05EDBA73-7501-4445-994D-ADF3A9941887,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,0607FC9C-6E81-4722-BF6B-07ADDD4EBB3E,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,060A8759-8F80-49BA-963B-27B5D1F71FB1,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,06174428-FB44-4852-A484-F78D4D38F7F8,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,0623121A-6AA5-494A-9ED0-A1966DDC859B,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,06A9CC3E-F0FE-4C53-A704-0A8145553C04,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,06B826F7-EC46-4298-9286-78B4B057AD52,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,06EC806F-DFBD-4A17-BB56-22B8F3D67849,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,070E4A43-E7D8-4469-A3E8-C26BF0DE46B9,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,0731C016-2593-47D7-BAD1-327F9F380ADD,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,07481EB3-438B-4870-B41C-F5BB9C1880B6,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,077739CF-19B7-4750-975D-042A5EE64ED8,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,077A911E-E65B-4D47-8671-6E94DECA853A,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,081173F2-04CF-4C40-9623-DEFB52137F2C,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,08353B23-23DB-4433-A9EB-B17A193BDC1F,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,083A5232-F56A-4734-AE8C-43F9BD769139,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,0854E7CE-5E81-4D4F-AE55-658CE2E61043,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,0854E7CE-5E81-4D4F-AE55-658CE2E61043,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,085C90C6-35F4-4F6D-A530-7C6B46268421,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,086AE789-E56A-48F4-9D36-390A768AF93F,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
NULL,086D2435-2509-4564-83E0-91E4924E6A01,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,087B11C3-5BC4-4ACB-876C-3AAEC6B321C1,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,088FA484-0A20-4FBC-B8EE-BFD3C33E1867,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,08C93BFF-B1E1-4CD2-87A7-5053A2E5D521,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
