NK_PermissionHolder;FAX;AdditionalInformation;NAME;STREET;PostOfficeBox;NK_CodetableCity;Phone;NK_CodetableCountry
000066FC-10BC-4ACE-9E3A-345571CC087A;;;Comagri SRL;Via Piani d'Isarco 4 ;;175F429F-5D83-4EB6-9E5B-9A6D07D16E83;;BE1D323D-29E4-4570-8618-5463896BE5D2
011F9A0F-8D5A-49CC-AA94-8CE0646A53CE;;;Scotts Celaflor;Karolingerstrasse 7b ;;4EDAA65F-AA1A-4DCF-BDFC-609104C58BD2;;29738AA2-5393-438D-BE07-9D6B56D2ACCF
018C0DAB-6CB8-4F46-B684-4F59117A4F6A;;;Syngenta Agro AG ;Schaffhauserstr. 101;Postfach;7C7276F7-7AE4-4389-9865-C0DC767AB2DC;+41 (0)61 323 56 70 ;6698DCFD-D86E-4098-A5A4-DA5B71062093
01A7FE62-324D-4F62-A28D-C9D4876C9856;;;Syngenta Agro GmbH;Anton-Baumgartner-Strasse 125 ;;9BF7EEBE-F520-45DA-BBAE-F1209DEABFF2;;29738AA2-5393-438D-BE07-9D6B56D2ACCF
01BDE041-94AD-40BA-9229-5AD014CD52BB;;;BASF SE;Carl-Bosch-Strasse 38  ;;B1D7BDB0-A5EC-4E38-A648-891BD22C188B;;56CCE907-F002-4B0C-B948-98299B1FEA6E
028D7443-0B72-4C38-A408-BF99DBD07703;;;BASF Italia SpA;Via Marconato ;;57437E55-EC8D-472E-845F-D81BF81D1C5A;;BE1D323D-29E4-4570-8618-5463896BE5D2
03361EE4-E719-4BB0-BD5E-FCB7203381A4;;;Läubli Feuerwerk AG;Mosenstrasse 32;;443F61AD-1BE3-4541-A29E-A0E8669F8982;041 917 17 10;6698DCFD-D86E-4098-A5A4-DA5B71062093
04E09A42-96A6-4B6D-B7AC-17915227AC2A;;;Monsanto International Sàrl;Rue du Sablon 2-4;;FBC9527E-15A1-44BF-90AD-73DA6EE6492D;021/653 17 84;6698DCFD-D86E-4098-A5A4-DA5B71062093
04FDF35E-6B86-429B-B942-D654D14DA1F9;;;Syngenta Agro GmbH;am Technologiepark 1 - 5 ;;BB2AB7AB-2156-4166-8894-1C9EDD2BEA78;;56CCE907-F002-4B0C-B948-98299B1FEA6E
057A1A10-25C5-4609-8053-23F2F67B666F;;;S.D.P.J.;105 rue de l'Abbé Groult ;;49016BF3-1DE4-415F-A980-D53838AC3694;;C3FFE09F-F38F-42B3-8601-CE60DB2A37F5
0609C86A-D309-47DC-841A-777C41FB5B04;;;Dow Agro Science GmbH;Truderingerstrasse 15 ;;5C5D41BC-484B-42A2-A8D0-C1C871B625AA;;56CCE907-F002-4B0C-B948-98299B1FEA6E
066239D5-BCB5-4AC0-A0A1-9157D59087DD;;;Migros-Genossenschafts-Bund;Limmatstrasse 152;266;BB9C34C8-23D4-4503-8ECB-4AB52C8EF38D;;6698DCFD-D86E-4098-A5A4-DA5B71062093
0891DE1F-2F9C-491E-BE74-6B381F6ADD48;;;BASF;Carl-Bosch-Str. 64 ;;53803A92-7768-4017-BE19-987401A79D94;+49 4141 9204 248;56CCE907-F002-4B0C-B948-98299B1FEA6E
08CC2BF4-E63F-46FE-9FF6-0AC7CAA506BC;;;Agrowin Biosciences S.R.L.;Via Montegrappa 7 ;;D8975AE6-B42C-4FDE-B243-C7424CB301BB;;BE1D323D-29E4-4570-8618-5463896BE5D2
0933EFA5-31C3-4264-9E1F-B71AE70EFC27;;;OGET Innovations GmbH ;Europapark 1 ;8412;1A5F429B-3170-450F-BB4D-05402EAF0752;;29738AA2-5393-438D-BE07-9D6B56D2ACCF
0A5D3EDB-8A4A-4C93-B860-DAE06CBDD8A6;;;ISK Biosciences (Schweiz) GmbH;Archivstrasse 18;;2B8372BD-B62D-43BE-AA69-904ADF6D6DE3;;6698DCFD-D86E-4098-A5A4-DA5B71062093
0A9B2D73-3E4F-4B88-8516-DF314AC69884;;;BASF Agro SAS;21, chemin de la Sauvegard ;;6173E059-6A38-45DC-A65D-0B34945AEAA4;;C3FFE09F-F38F-42B3-8601-CE60DB2A37F5
0B05ECC7-28FE-4D7A-8540-115AE0D662DA;;;Du Pont De Nemours Italiana;Centro Direzionale Villa Fiorita - Via Piero Gobet ;;E026FF15-120D-4574-919F-F0A08C5CC46F;;BE1D323D-29E4-4570-8618-5463896BE5D2
0C82B53F-8303-434A-8F3C-8F9DCB4E86E2;;;Stähler Agrochemie GmbH & Co. KG;Stader Elbstrasse ;Postfach 2047;5AF27D3C-2F1F-4089-A394-0B1FDCD7230D;0049 41 41 92 04 0;56CCE907-F002-4B0C-B948-98299B1FEA6E
0E17C62D-7A30-4758-A1B4-35431B0D3280;;;Luxan B.V.;Industrieweg 2 ;;42C9D9F3-4FB6-445F-A671-FEBF609EE79A;0031 481 360811;51F6122D-47EC-4051-97CC-01D7CF8E4758
0E6926A2-7CD6-4A8F-A713-A23376F0E25D;;;Helarion Industries;35 rue du Corps Franc Pomiès ;BP 29;73CF287D-6097-4C7E-8739-1E8667BFEC73;0033 5 53 47 04 02;C3FFE09F-F38F-42B3-8601-CE60DB2A37F5
0F472504-D8B0-47EA-8CBE-1D597AA82524;;;Phyto - Service;15, rue du Pont, Pontijou - RD 924 ;;4126D111-467E-42E4-85C1-C85F9FDC87B5;;C3FFE09F-F38F-42B3-8601-CE60DB2A37F5
0FD68747-72EA-45EE-9ECF-BF5BC055D8C5;;;Crompton Registrations Ltd.;Kennet House, 4 Langley Quay ;;C47FDF07-0A1D-4C5C-AD3D-9044355F21C6;;DAC731AC-BB70-4164-B500-83559938B481
112A67B6-94A0-41A3-A9CB-1B2A0F206FF8;;;Nufarm SAS;11 rue du Débarcadère ;;7045AA08-321A-467E-B608-9EDF09992E66;;C3FFE09F-F38F-42B3-8601-CE60DB2A37F5
1192722A-427A-4B69-9E7B-C2FD5239CACC;;;Luxembourg Pamol (Cyprus) LTD.;3 Demetriou Vikella Street ;;2A1D0F4D-71BC-42BE-AE88-FA6D20E69602;;FB4131DC-DCA0-4E96-9664-E1D2484E4306
124995F6-6203-4E05-895C-762E2689486D;;;Novozymes Switzerland AG;Gewerbestrasse 7A;;29E25C80-2C22-4300-A92E-7855FD0177E8;;6698DCFD-D86E-4098-A5A4-DA5B71062093
12583A4F-AD02-4629-996F-44047FA794AE;;;Cerexagri s.a.s;Bd de la Louisiane 1 ;;D29A566B-B221-45B2-BD56-B92A91557B2D;+33 557 77 69 29;C3FFE09F-F38F-42B3-8601-CE60DB2A37F5
140D5D74-2402-404E-8FAE-C0124542751A;;;Argchemical SNC;Via Rossini 9a ;;B80A9E0F-C905-47DF-9627-FFC5FBAA0A37;;BE1D323D-29E4-4570-8618-5463896BE5D2
153B1980-C4E0-439A-86F7-58F66EA9215A;;;Makhteshim Agan France;2, Rue Troyon ;;2EF9C033-98B4-4738-9865-D9A550EAFBE4;;C3FFE09F-F38F-42B3-8601-CE60DB2A37F5
15A918E9-9590-4DB0-8475-5982A7D9415F;;;Crop Protection Company S.A.;1 Route du Vin ;;C411ACB2-94EE-492E-9B8E-F64B89D3AFF7;;C9DE192C-796F-4B51-BEDE-4B2CBAB63A5F
15BAC516-7F05-4353-82D7-A2BA41438215;;;Stähler Suisse SA;Henzmannstrasse 17A;;E9AA4653-0686-4C06-B25A-1EBE72D2DCAE;+41 62 746 80 05 / +41 62 746 80 00;6698DCFD-D86E-4098-A5A4-DA5B71062093
15CCF8FF-91DC-4A14-BD07-25BE74423C8E;;;Tomen France S.A.;18 avenue de l'opéra ;;E907B427-C0A7-4960-A3F9-E0EC9F1B0941;;C3FFE09F-F38F-42B3-8601-CE60DB2A37F5
15FA81A3-86BA-42AD-A7DD-C45CCDAB7DEF;;;CBC (Europe) S.r.l.;E.Majorana ;;76B476C2-75F7-4311-B01A-BEA7033B8BE7;;BE1D323D-29E4-4570-8618-5463896BE5D2
169DD8BE-5713-48C9-B139-F88E12BDDE34;;;Monsanto Agrar Deutschland GmbH;Vogelsanger Weg 91 ;;5E61051A-1013-4555-BB18-AD557A54A403;;56CCE907-F002-4B0C-B948-98299B1FEA6E
16DCD8AE-8BD0-4FAE-90E2-AE2D310AE4A1;;;Bayer CropScience AG;Alfred-Nobel-Str. 50 ;;CFA42B21-1997-4C04-940E-A9D476746FB5;0049 2173 / 38 33 74;56CCE907-F002-4B0C-B948-98299B1FEA6E
17486103-B818-49E6-9667-AF90F13F5CC0;;;Rovagro SA;Route de Bettens 19;;FD54A8A1-8943-4AFF-A184-B4D91CAA65E0;;6698DCFD-D86E-4098-A5A4-DA5B71062093
176D6C63-AD68-4B5E-8CA2-394A7E12822D;;;Glanzit-Gesellschaft Pfeiffer & Co.;Industriegebiet Nord I/4, Langgewann 80 ;;4CD8E0C8-2A50-47D4-A1F3-202870EE39E2;;56CCE907-F002-4B0C-B948-98299B1FEA6E
1794C153-E2BE-4043-946E-C5F953D9261E;;;ADAMA Agan Ltd.,;Ha'ashlag St.  ;;D8D47577-A338-4974-ACC2-6C5E075C5EFA;;E4D16808-543E-47EC-9BCC-50A0CAEC7C9B
1827D662-5367-4121-8758-243F379B89F9;;;Agriphar S.A.;Rue de Renory, 26/1 ;;26918A8D-CB1B-4D6A-BD3C-3227C89FD1E5;;9E495CC6-2D2C-4E76-B183-8D98611AEBA4
18386E3D-BF3B-4409-A27A-80B143DD15AB;;;ISK Biosciences Europe S.A.;Olfener Str. 36 ;;24607323-F894-4C50-B724-8DAD45015B6F;;56CCE907-F002-4B0C-B948-98299B1FEA6E
1B26C54A-FAE0-40A1-BEAF-F43B46D0CC56;;;Arysta LifeScience Germany GmbH;Elisabethstrasse 44 ;;91849348-35A4-4699-A678-44F597720262;;56CCE907-F002-4B0C-B948-98299B1FEA6E
1B4DBDF1-6712-47A0-A792-FC8D8B5234B1;;;HERBEX Produtos quimicos L.D.A;Estrada dal Albarraque ;;E34B98AA-2DD8-4C30-BA89-26313D23B320;;BE1D323D-29E4-4570-8618-5463896BE5D2
1B53AFC4-75A4-4A40-975B-C1A3FBF4C2BA;;;Florendi Jardin;LE DOMINANT, CHATEAUBERNARD ;BP 130;85702DF1-A4F0-4893-89B1-E5D9B84BD572;;C3FFE09F-F38F-42B3-8601-CE60DB2A37F5
1BB25B6F-6185-4A5F-9C1C-B6E7406D3333;;;Agria Reisebüro-Handelsgesellschaft m.b.H.;Marktplatz 16 ;;0670123D-8066-460B-8D44-1FE17C1D5176;;29738AA2-5393-438D-BE07-9D6B56D2ACCF
