13:13:25,928 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.xml]
13:13:25,929 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.groovy]
13:13:25,929 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [logback.xml] at [jar:file:/home/runner/work/PSMV-RDF/PSMV-RDF/service/shacl_play/shacl-play-app-0.12.0-onejar.jar!/logback.xml]
13:13:25,939 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@76707e36 - URL [jar:file:/home/runner/work/PSMV-RDF/PSMV-RDF/service/shacl_play/shacl-play-app-0.12.0-onejar.jar!/logback.xml] is not of type file
13:13:26,022 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - debug attribute not set
13:13:26,023 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.FileAppender]
13:13:26,030 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [FILE]
13:13:26,037 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
13:13:26,052 |-ERROR in ch.qos.logback.core.pattern.parser.Compiler@614ddd49 - There is no conversion class registered for conversion word [kvp]
13:13:26,053 |-ERROR in ch.qos.logback.core.pattern.parser.Compiler@614ddd49 - [kvp] is not a valid conversion word
13:13:26,095 |-INFO in ch.qos.logback.core.FileAppender[FILE] - File property is set to [shacl-play-app.log]
13:13:26,096 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
13:13:26,097 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [STDOUT]
13:13:26,098 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
13:13:26,099 |-ERROR in ch.qos.logback.core.pattern.parser.Compiler@1f554b06 - There is no conversion class registered for conversion word [kvp]
13:13:26,099 |-ERROR in ch.qos.logback.core.pattern.parser.Compiler@1f554b06 - [kvp] is not a valid conversion word
13:13:26,100 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.http] to INFO
13:13:26,100 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.jena.riot.web] to INFO
13:13:26,100 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to DEBUG
13:13:26,100 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [FILE] to Logger[ROOT]
13:13:26,100 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [STDOUT] to Logger[ROOT]
13:13:26,100 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
13:13:26,101 |-INFO in ch.qos.logback.classic.joran.JoranConfigurator@694e1548 - Registering current configuration as safe fallback point

13:13:26.261 [main] DEBUG o.a.j.r.s.stream.JenaIOEnvironment -%PARSER_ERROR[kvp]- Failed to find configuration: location-mapping.ttl;location-mapping.rdf;etc/location-mapping.rdf;etc/location-mapping.ttl
13:13:26.413 [main] DEBUG f.s.rdf.shacl.app.InputModelReader -%PARSER_ERROR[kvp]- Reading input from : /home/runner/work/PSMV-RDF/PSMV-RDF/rdf/processed/shapes.ttl
13:13:26.422 [main] DEBUG org.apache.jena.shared.LockMRSW -%PARSER_ERROR[kvp]- Lock : main
13:13:26.423 [main] DEBUG org.apache.jena.shared.LockMRSW -%PARSER_ERROR[kvp]- Lock : main
13:13:29.860 [main] DEBUG f.s.r.s.d.r.EnrichDocumentationWithStatisticsVisitor -%PARSER_ERROR[kvp]- Cannot find corresponding class partition for https://agriculture.ld.admin.ch/plant-protection/shape/ClassProperty
